Date,Apple Inc. (AAPL),Microsoft Corp. (MSFT),Amazon.com Inc. (AMZN),Facebook Inc. Cl A (FB),Alphabet Inc. Cl A (GOOGL),Alphabet Inc. Cl C (GOOG),Tesla Inc. (TSLA),Berkshire Hathaway Inc. Cl B (BRK.B),NVIDIA Corp. (NVDA),JPMorgan Chase & Co. (JPM),Johnson & Johnson (JNJ),Visa Inc. Cl A (V),UnitedHealth Group Inc. (UNH),PayPal Holdings Inc. (PYPL),Home Depot Inc. (HD),Procter & Gamble Co. (PG),Mastercard Inc. (MA),Walt Disney Co. (DIS),Bank of America Corp. (BAC),Adobe Inc. (ADBE),Exxon Mobil Corp. (XOM),Comcast Corp. Cl A (CMCSA),Netflix Inc. (NFLX),Verizon Communications Inc. (VZ),Intel Corp. (INTC)
08/27/2021,148.60,299.72,3349.63,372.63,2880.08,2891.01,711.92,286.60,226.36,163.05,172.93,232.69,418.76,278.33,323.38,142.31,355.73,180.14,42.49,658.52,55.77,59.40,558.92,54.77,53.89
08/26/2021,147.54,299.09,3316.00,364.38,2828.81,2842.46,701.16,285.27,220.68,161.75,173.30,230.52,416.85,273.62,321.48,142.42,352.86,176.56,42.04,652.39,54.71,59.00,550.12,54.60,53.13
08/25/2021,148.36,302.01,3299.18,368.39,2841.58,2859.00,711.20,287.30,222.13,160.92,174.23,232.59,419.74,277.69,323.88,142.67,359.10,178.31,42.15,656.80,55.46,59.48,547.58,54.93,53.81
08/24/2021,149.62,302.62,3305.78,365.51,2825.23,2847.97,708.49,286.02,217.93,157.67,175.39,234.24,423.41,279.51,324.90,143.18,361.78,178.47,41.48,657.24,55.36,59.53,553.41,55.01,53.81
08/23/2021,149.71,304.65,3265.87,363.35,2800.83,2821.99,706.30,285.62,219.58,156.70,177.61,234.14,425.36,276.98,327.74,144.35,361.01,177.66,40.91,656.86,54.91,59.80,553.33,55.42,53.23
08/20/2021,148.19,304.36,3199.95,359.37,2748.59,2768.74,680.26,285.27,208.16,154.72,179.44,231.36,429.71,272.96,329.24,145.09,354.99,175.12,40.37,647.34,52.74,59.41,546.88,55.52,52.01
08/19/2021,146.70,296.77,3187.75,355.12,2713.60,2738.27,673.47,285.13,197.98,154.28,178.57,231.57,427.89,270.58,322.90,144.99,357.31,173.25,40.19,637.66,52.73,58.96,543.71,55.37,52.44
08/18/2021,146.36,290.73,3201.22,355.45,2708.98,2731.40,688.99,286.36,190.40,155.58,177.19,231.63,417.32,268.84,321.55,143.30,360.95,174.74,40.79,626.77,54.39,59.03,521.87,55.47,52.19
08/17/2021,150.19,293.08,3241.96,358.45,2733.23,2746.01,665.71,289.10,194.58,157.01,179.47,234.53,421.78,271.10,320.75,144.88,363.23,175.83,41.09,635.01,55.56,59.47,518.91,56.18,52.69
08/16/2021,151.12,294.60,3298.99,366.56,2766.19,2778.32,686.17,289.45,199.50,158.93,177.84,235.36,417.21,278.28,335.05,144.64,363.56,179.09,41.29,636.94,55.94,59.25,517.92,55.98,53.47
